Month,Year,Rainfall,WPI
1,2006,15,12.105
2,2006,30,12.583333333333334
3,2006,80,13.5
4,2006,140,10.766666666666666
5,2006,180,12.21
6,2006,200,12.223333333333334
7,2006,120,11.415
8,2006,80,13.25
9,2006,150,13.693333333333333
10,2006,150,12.7
11,2006,50,10.96
12,2006,20,10.9
1,2007,15,12.223333333333334
2,2007,30,13.85
3,2007,80,11.333333333333334
4,2007,140,12.7
5,2007,180,14.0
6,2007,200,10.916666666666666
7,2007,120,12.083333333333334
8,2007,80,10.416666666666666
9,2007,150,10.700000000000001
10,2007,150,10.8125
11,2007,50,11.280000000000001
12,2007,20,13.145
1,2008,15,17.038333333333334
2,2008,30,13.8225
3,2008,80,16.425
4,2008,140,18.916666666666668
5,2008,180,19.73125
6,2008,200,17.157
7,2008,120,14.354444444444445
8,2008,80,18.73888888888889
9,2008,150,17.585
10,2008,150,16.670909090909092
11,2008,50,16.225
12,2008,20,16.46
1,2009,15,16.47142857142857
2,2009,30,17.01090909090909
3,2009,80,16.875
4,2009,140,18.425
5,2009,180,19.026153846153846
6,2009,200,19.993333333333336
7,2009,120,18.888461538461538
8,2009,80,21.066666666666666
9,2009,150,21.20111111111111
10,2009,150,20.365384615384617
11,2009,50,21.854666666666667
12,2009,20,21.697692307692307
1,2010,15,23.369999999999997
2,2010,30,22.068181818181817
3,2010,80,23.194444444444443
4,2010,140,22.9
5,2010,180,26.939999999999998
6,2010,200,24.615384615384617
7,2010,120,28.93846153846154
8,2010,80,22.232142857142858
9,2010,150,28.615
10,2010,150,25.803333333333335
11,2010,50,26.04769230769231
12,2010,20,31.4375
1,2011,15,19.682
2,2011,30,22.825
3,2011,80,28.154545454545453
4,2011,140,28.874285714285715
5,2011,180,29.01923076923077
6,2011,200,29.154615384615383
7,2011,120,27.708333333333332
8,2011,80,26.237142857142857
9,2011,150,25.826923076923077
10,2011,150,27.9175
11,2011,50,27.146666666666665
12,2011,20,25.018181818181816
1,2012,15,28.423076923076923
2,2012,30,25.02777777777778
3,2012,80,34.03333333333333
4,2012,140,33.20454545454545
5,2012,180,36.291666666666664
6,2012,200,39.541666666666664
7,2012,120,42.975
8,2012,80,50.73125
9,2012,150,43.5
10,2012,150,47.020833333333336
11,2012,50,46.22727272727273
12,2012,20,54.720000000000006
1,2013,15,54.86363636363637
2,2013,30,58.041666666666664
3,2013,80,55.40384615384615
4,2013,140,60.625
5,2013,180,64.66666666666667
6,2013,200,57.6
7,2013,120,55.18181818181818
8,2013,80,60.41818181818182
9,2013,150,50.854166666666664
10,2013,150,49.15
11,2013,50,54.75
12,2013,20,47.36000000000001
1,2014,15,40.88333333333333
2,2014,30,48.28454545454545
3,2014,80,46.73636363636364
4,2014,140,44.5625
5,2014,180,46.9
6,2014,200,46.02272727272727
7,2014,120,50.916666666666664
8,2014,80,42.475
9,2014,150,39.638888888888886
10,2014,150,48.35793103448276
11,2014,50,36.64727272727273
12,2014,20,40.88636363636363
1,2015,15,42.59090909090909
