Month,Year,Rainfall,WPI
8,2019,80,1.5299999999999998
9,2019,150,1.55
10,2019,150,1.722
11,2019,50,2.006923076923077
12,2019,20,1.768
1,2020,15,7.672307692307693
2,2020,30,3.5035294117647062
3,2020,80,2.1927272727272724
4,2020,140,5.501333333333333
5,2020,180,4.894285714285714
6,2020,200,3.98
7,2020,120,3.6376923076923076
8,2020,80,3.742
9,2020,150,3.4106666666666667
10,2020,150,2.1028571428571428
11,2020,50,2.3563636363636364
12,2020,20,2.0611111111111113
1,2021,15,3.0069230769230773
2,2021,30,4.68
3,2021,80,5.718333333333334
4,2021,140,4.773999999999999
5,2021,180,5.75
6,2021,200,3.3280000000000003
7,2021,120,10.532222222222224
8,2021,80,9.821818181818182
9,2021,150,8.733
10,2021,150,6.4511111111111115
11,2021,50,4.991428571428571
12,2021,20,5.588666666666667
1,2022,15,9.135
2,2022,30,5.558
3,2022,80,6.914444444444445
4,2022,140,7.063750000000001
5,2022,180,9.974
6,2022,200,7.034166666666667
7,2022,120,6.699999999999999
8,2022,80,7.949090909090909
9,2022,150,9.78125
10,2022,150,5.285454545454545
11,2022,50,9.971666666666666
12,2022,20,12.635555555555555
1,2023,15,9.797
2,2023,30,7.185
3,2023,80,14.044444444444444
4,2023,140,8.288571428571428
5,2023,180,12.688571428571427
6,2023,200,11.934285714285712
7,2023,120,8.858181818181817
