Month,Year,Rainfall,WPI
8,2019,80,387.135
9,2019,150,467.95666666666665
10,2019,150,924.78
11,2019,50,111.875
12,2019,20,705.45
1,2020,15,203.29666666666665
2,2020,30,329.5657142857143
3,2020,80,138.89
4,2020,140,473.5133333333333
5,2020,180,319.225
6,2020,200,344.4188888888889
7,2020,120,253.584
8,2020,80,300.614
9,2020,150,311.62625
10,2020,150,138.89
11,2020,50,138.89
12,2020,20,147.81
1,2021,15,228.96
2,2021,30,128.7
3,2021,80,261.2555555555556
4,2021,140,384.4542857142857
5,2021,180,354.675
6,2021,200,569.8399999999999
7,2021,120,510.166
8,2021,80,574.4399999999999
9,2021,150,873.81
10,2021,150,487.6133333333333
11,2021,50,347.832
12,2021,20,482.23
1,2022,15,535.4685714285714
2,2022,30,481.025
3,2022,80,369.534
4,2022,140,421.422
5,2022,180,637.7383333333333
6,2022,200,624.0260000000001
7,2022,120,558.0139999999999
8,2022,80,345.86
9,2022,150,421.71999999999997
10,2022,150,375.3825
11,2022,50,471.776
12,2022,20,596.84
1,2023,15,484.37888888888887
2,2023,30,587.7239999999999
3,2023,80,526.7488888888888
4,2023,140,687.5
5,2023,180,235.07999999999998
6,2023,200,228.46
7,2023,120,837.71
