Month,Year,Rainfall,WPI
8,2019,80,9.220625
9,2019,150,5.86
10,2019,150,10.147142857142857
11,2019,50,8.387368421052633
12,2019,20,7.336086956521739
1,2020,15,8.158
2,2020,30,94.8984
3,2020,80,5.83764705882353
4,2020,140,41.429500000000004
5,2020,180,111.2325
6,2020,200,204.7246153846154
7,2020,120,116.1436
8,2020,80,192.02739130434784
9,2020,150,199.33913043478262
10,2020,150,8.850714285714286
11,2020,50,9.152105263157896
12,2020,20,9.359411764705882
1,2021,15,14.391052631578948
2,2021,30,114.9661111111111
3,2021,80,108.91071428571429
4,2021,140,97.22722222222222
5,2021,180,102.29071428571429
6,2021,200,100.22526315789473
7,2021,120,104.868
8,2021,80,82.26722222222222
9,2021,150,138.90533333333332
10,2021,150,102.152
11,2021,50,98.78470588235294
12,2021,20,102.30533333333334
1,2022,15,81.24421052631578
2,2022,30,303.95285714285717
3,2022,80,157.72315789473683
4,2022,140,168.10333333333335
5,2022,180,193.74375
6,2022,200,199.30466666666663
7,2022,120,179.69411764705885
8,2022,80,120.55214285714285
9,2022,150,245.682
10,2022,150,127.70307692307694
11,2022,50,192.17071428571427
12,2022,20,180.78545454545454
1,2023,15,180.76529411764704
2,2023,30,162.50434782608696
3,2023,80,222.85999999999999
4,2023,140,18.43952380952381
5,2023,180,18.052500000000002
6,2023,200,22.18076923076923
7,2023,120,183.19529411764708
