Month,Year,Rainfall,WPI
8,2019,80,190.9333333333333
9,2019,150,172.56
10,2019,150,190.65
11,2019,50,258.145
12,2019,20,191.58166666666668
1,2020,15,266.90777777777777
2,2020,30,104.4
3,2020,80,245.5666666666667
4,2020,140,17.0
5,2020,180,65.67
6,2020,200,80.95333333333333
7,2020,120,113.555
8,2020,80,103.378
9,2020,150,106.12
10,2020,150,158.95
11,2020,50,208.21375
12,2020,20,262.38
1,2021,15,105.98875000000001
2,2021,30,548.335
3,2021,80,399.895
4,2021,140,264.62857142857143
5,2021,180,317.054
6,2021,200,397.06
7,2021,120,496.1985714285714
8,2021,80,546.05
9,2021,150,583.822
10,2021,150,545.7966666666666
11,2021,50,480.1171428571428
12,2021,20,494.7285714285714
1,2022,15,502.5128571428571
2,2022,30,494.6275
3,2022,80,322.28599999999994
4,2022,140,470.3385714285714
5,2022,180,507.94625
6,2022,200,362.11800000000005
7,2022,120,601.374
8,2022,80,536.5683333333333
9,2022,150,718.272
10,2022,150,900.902
11,2022,50,984.70875
12,2022,20,882.6133333333333
1,2023,15,794.5625
2,2023,30,738.9564285714285
3,2023,80,1150.97875
4,2023,140,996.82
5,2023,180,700.9983333333333
6,2023,200,929.758
7,2023,120,948.0150000000001
