Month,Year,Rainfall,WPI
8,2019,80,101.189
9,2019,150,117.71520000000001
10,2019,150,153.8665
11,2019,50,141.13884615384615
12,2019,20,173.79217391304346
1,2020,15,134.7375
3,2020,80,182.2809090909091
4,2020,140,84.98315789473685
5,2020,180,89.27555555555556
6,2020,200,286.1771428571429
10,2020,150,225.1835294117647
11,2020,50,258.7131818181818
12,2020,20,255.14105263157896
1,2021,15,94.5290909090909
2,2021,30,57.618947368421054
3,2021,80,81.94590909090908
4,2021,140,42.100769230769224
5,2021,180,67.17
6,2021,200,57.57909090909091
7,2021,120,61.676
8,2021,80,68.21571428571428
9,2021,150,88.66166666666668
10,2021,150,43.02214285714285
11,2021,50,55.626666666666665
12,2021,20,80.968125
1,2022,15,65.75764705882352
2,2022,30,75.36999999999999
3,2022,80,53.72588235294118
4,2022,140,45.332857142857144
5,2022,180,72.48538461538462
6,2022,200,70.4075
7,2022,120,37.290625
8,2022,80,62.14266666666666
9,2022,150,76.20266666666666
10,2022,150,49.54
11,2022,50,54.855000000000004
12,2022,20,34.662
1,2023,15,106.19722222222222
2,2023,30,110.63076923076923
3,2023,80,89.785
4,2023,140,161.29840000000002
5,2023,180,126.42479999999999
6,2023,200,125.46833333333335
7,2023,120,75.99499999999999
