Month,Year,Rainfall,WPI
8,2019,80,103.41555555555556
9,2019,150,116.21222222222224
10,2019,150,106.922
11,2019,50,89.06421052631579
12,2019,20,98.47722222222222
1,2020,15,99.87125
2,2020,30,118.87037037037037
3,2020,80,96.57125
4,2020,140,96.40260869565218
5,2020,180,118.4708
6,2020,200,279.61800000000005
7,2020,120,116.65285714285714
8,2020,80,158.15444444444447
9,2020,150,93.32300000000001
10,2020,150,109.98
11,2020,50,75.50333333333333
12,2020,20,50.36769230769231
1,2021,15,122.75608695652173
2,2021,30,145.8304347826087
3,2021,80,147.82391304347829
4,2021,140,138.16454545454545
5,2021,180,126.60428571428572
6,2021,200,146.55
7,2021,120,120.908125
8,2021,80,207.4558823529412
9,2021,150,155.89555555555555
10,2021,150,173.2957894736842
11,2021,50,119.88111111111112
12,2021,20,167.3438095238095
1,2022,15,143.5890909090909
2,2022,30,185.78166666666664
3,2022,80,153.816
4,2022,140,150.86652173913043
5,2022,180,168.21454545454546
6,2022,200,193.50294117647059
7,2022,120,157.16857142857143
8,2022,80,135.874
9,2022,150,163.77285714285713
10,2022,150,187.17333333333332
11,2022,50,147.80619047619047
12,2022,20,223.87923076923076
1,2023,15,177.99681818181818
2,2023,30,185.95357142857142
3,2023,80,206.95636363636365
4,2023,140,140.10736842105263
5,2023,180,256.7025
6,2023,200,153.86769230769232
7,2023,120,302.5404347826087
