Month,Year,Rainfall,WPI
1,2006,15,21.7
2,2006,30,24.233333333333334
3,2006,80,20.11
4,2006,140,21.695
5,2006,180,21.67
6,2006,200,21.576666666666668
7,2006,120,19.392000000000003
8,2006,80,18.5
9,2006,150,15.45
10,2006,150,14.2875
11,2006,50,15.6
12,2006,20,17.3
1,2007,15,21.296666666666667
2,2007,30,22.72666666666667
3,2007,80,22.21
4,2007,140,23.49
5,2007,180,23.816666666666666
6,2007,200,22.4
7,2007,120,29.475
8,2007,80,23.416666666666668
9,2007,150,23.394
10,2007,150,24.3275
11,2007,50,31.0125
12,2007,20,27.04
1,2008,15,30.574
2,2008,30,30.87125
3,2008,80,37.08416666666667
4,2008,140,41.48636363636364
5,2008,180,52.589999999999996
6,2008,200,60.02076923076923
7,2008,120,73.393
8,2008,80,63.924
9,2008,150,39.56636363636364
10,2008,150,44.58555555555555
11,2008,50,43.77428571428572
12,2008,20,51.73888888888889
1,2009,15,52.716923076923074
2,2009,30,56.837
3,2009,80,55.636153846153846
4,2009,140,57.35090909090909
5,2009,180,64.96071428571429
6,2009,200,69.35833333333333
7,2009,120,66.12923076923076
8,2009,80,62.349000000000004
9,2009,150,43.72090909090909
10,2009,150,47.65625
11,2009,50,49.32142857142857
12,2009,20,46.46875
1,2010,15,50.269999999999996
2,2010,30,50.45454545454545
3,2010,80,52.56818181818182
4,2010,140,49.45454545454545
5,2010,180,51.472727272727276
6,2010,200,52.075
7,2010,120,56.35
8,2010,80,53.787
9,2010,150,46.106153846153845
10,2010,150,44.23636363636364
11,2010,50,47.5
12,2010,20,43.0
1,2011,15,53.93333333333333
2,2011,30,49.2
3,2011,80,50.75
4,2011,140,55.875
5,2011,180,58.2
6,2011,200,78.4375
7,2011,120,79.63636363636364
8,2011,80,81.42857142857143
9,2011,150,68.5
10,2011,150,61.083333333333336
11,2011,50,73.1875
12,2011,20,86.36
1,2012,15,92.21428571428571
2,2012,30,93.63636363636364
3,2012,80,90.53181818181818
4,2012,140,99.76923076923077
5,2012,180,112.05
6,2012,200,113.84545454545454
7,2012,120,111.97222222222223
8,2012,80,89.23928571428571
9,2012,150,78.27083333333333
10,2012,150,71.95833333333333
11,2012,50,70.0909090909091
12,2012,20,71.03999999999999
1,2013,15,77.45833333333333
2,2013,30,73.75
3,2013,80,72.54166666666667
4,2013,140,74.36363636363636
5,2013,180,70.27083333333333
6,2013,200,76.0
7,2013,120,69.13461538461539
8,2013,80,71.12727272727273
9,2013,150,65.0
10,2013,150,62.645833333333336
11,2013,50,67.125
12,2013,20,74.29545454545455
1,2014,15,82.34
2,2014,30,81.025
3,2014,80,90.6888888888889
4,2014,140,91.975
5,2014,180,103.38461538461539
6,2014,200,114.91111111111111
7,2014,120,114.19545454545455
8,2014,80,129.41666666666666
9,2014,150,115.10909090909091
10,2014,150,108.625
11,2014,50,108.56363636363636
12,2014,20,110.10000000000001
1,2015,15,118.55555555555556
2,2015,30,122.27000000000001
3,2015,80,119.7611111111111
4,2015,140,124.31818181818181
5,2015,180,143.03555555555556
6,2015,200,157.78636363636363
7,2015,120,185.20833333333334
8,2015,80,176.54545454545453
9,2015,150,158.79166666666666
10,2015,150,145.44111111111113
11,2015,50,147.54615384615383
12,2015,20,153.94583333333333
1,2016,15,157.06363636363636
2,2016,30,162.86363636363637
3,2016,80,152.63888888888889
4,2016,140,151.02
5,2016,180,162.79500000000002
6,2016,200,127.57571428571428
7,2016,120,183.31666666666666
8,2016,80,147.54857142857142
9,2016,150,146.8
10,2016,150,90.775
11,2016,50,100.81181818181818
12,2016,20,118.11
1,2017,15,122.7090909090909
2,2017,30,132.14444444444445
3,2017,80,132.25
4,2017,140,124.5
5,2017,180,139.19625
6,2017,200,165.63636363636363
7,2017,120,159.667
8,2017,80,126.244
9,2017,150,146.3022222222222
10,2017,150,109.02799999999999
11,2017,50,119.98285714285714
12,2017,20,126.16285714285713
1,2018,15,134.87
2,2018,30,135.98
3,2018,80,133.564
4,2018,140,151.4
5,2018,180,157.044
6,2018,200,152.15
7,2018,120,176.176
8,2018,80,168.685
9,2018,150,133.565
10,2018,150,112.74000000000001
11,2018,50,138.6442857142857
12,2018,20,138.15375
1,2019,15,161.355
2,2019,30,129.08333333333334
3,2019,80,159.58333333333334
4,2019,140,170.65714285714284
5,2019,180,154.32857142857142
6,2019,200,165.4475
7,2019,120,166.187
8,2019,80,56.34192307692308
9,2019,150,66.1
10,2019,150,59.32636363636364
11,2019,50,40.11086956521739
12,2019,20,52.329130434782606
1,2020,15,48.37125
2,2020,30,60.632
3,2020,80,62.637368421052635
4,2020,140,43.257083333333334
5,2020,180,63.243199999999995
6,2020,200,146.5472727272727
7,2020,120,66.81807692307692
8,2020,80,71.8556
9,2020,150,64.5904347826087
10,2020,150,59.67235294117647
11,2020,50,82.61840000000001
12,2020,20,81.528
1,2021,15,113.45833333333333
2,2021,30,114.2995652173913
3,2021,80,84.83695652173913
4,2021,140,94.17086956521739
5,2021,180,93.878
6,2021,200,149.85272727272726
7,2021,120,137.97041666666667
8,2021,80,141.12
9,2021,150,175.7757142857143
10,2021,150,150.82714285714286
11,2021,50,136.11708333333334
12,2021,20,147.81730769230768
1,2022,15,141.17875
2,2022,30,126.6575
3,2022,80,170.865
4,2022,140,177.62526315789475
5,2022,180,145.18222222222224
6,2022,200,218.21454545454546
7,2022,120,156.321
8,2022,80,176.55809523809523
9,2022,150,193.97
10,2022,150,177.77666666666667
11,2022,50,212.1875
12,2022,20,211.94555555555556
1,2023,15,237.0817857142857
2,2023,30,281.168064516129
3,2023,80,185.2153846153846
4,2023,140,292.9006451612903
5,2023,180,260.69166666666666
6,2023,200,232.05807692307692
7,2023,120,198.00958333333332
