Month,Year,Rainfall,WPI
8,2019,80,60.82444444444444
9,2019,150,55.70076923076923
10,2019,150,53.38772727272727
11,2019,50,59.26090909090909
12,2019,20,53.76095238095238
1,2020,15,43.87294117647059
2,2020,30,59.772380952380956
3,2020,80,70.109375
4,2020,140,63.786
5,2020,180,50.68833333333333
6,2020,200,176.99375
7,2020,120,57.28380952380952
8,2020,80,80.416
9,2020,150,72.11421052631579
10,2020,150,76.51235294117647
11,2020,50,78.2442105263158
12,2020,20,97.06722222222223
1,2021,15,80.46263157894737
2,2021,30,88.32166666666666
3,2021,80,78.01714285714286
4,2021,140,98.30782608695652
5,2021,180,200.60222222222222
6,2021,200,103.34375
7,2021,120,144.83526315789473
8,2021,80,149.026875
9,2021,150,124.69083333333333
10,2021,150,156.375
11,2021,50,147.35904761904763
12,2021,20,147.59
1,2022,15,147.69791666666666
2,2022,30,163.3865
3,2022,80,131.25434782608696
4,2022,140,197.24954545454545
5,2022,180,165.69882352941178
6,2022,200,201.4835
7,2022,120,179.80619047619047
8,2022,80,170.074375
9,2022,150,155.65
10,2022,150,156.94736842105263
11,2022,50,254.29055555555553
12,2022,20,222.9225
1,2023,15,219.84650000000002
2,2023,30,241.3796551724138
3,2023,80,293.8279166666667
4,2023,140,264.7912
5,2023,180,279.0765517241379
6,2023,200,320.4544
7,2023,120,295.1207142857143
