Month,Year,Rainfall,WPI
8,2019,80,74.51615384615386
9,2019,150,86.288
10,2019,150,74.36800000000001
11,2019,50,88.89444444444445
12,2019,20,96.079
1,2020,15,109.30545454545454
2,2020,30,27.26875
3,2020,80,181.12181818181818
4,2020,140,43.824
5,2020,180,45.93833333333333
6,2020,200,113.02142857142857
7,2020,120,24.144166666666667
8,2020,80,267.77833333333336
9,2020,150,281.18600000000004
10,2020,150,244.65666666666667
11,2020,50,242.37199999999999
12,2020,20,153.365
1,2021,15,222.69421052631577
2,2021,30,115.96117647058824
3,2021,80,113.26866666666666
4,2021,140,116.7305
5,2021,180,103.922
6,2021,200,139.01142857142858
7,2021,120,79.78461538461539
8,2021,80,142.489
9,2021,150,164.39600000000002
10,2021,150,136.038125
11,2021,50,126.82277777777777
12,2021,20,154.29
1,2022,15,128.81590909090912
2,2022,30,109.44
3,2022,80,131.90533333333335
4,2022,140,128.38117647058823
5,2022,180,159.35
6,2022,200,106.955
7,2022,120,182.47076923076924
8,2022,80,254.29692307692306
9,2022,150,111.54416666666667
10,2022,150,136.62894736842105
11,2022,50,90.6125
12,2022,20,122.76142857142858
1,2023,15,129.56842105263158
2,2023,30,108.70904761904761
3,2023,80,128.73045454545456
4,2023,140,98.4025
5,2023,180,179.27272727272728
6,2023,200,109.09
7,2023,120,170.18692307692305
