Month,Year,Rainfall,WPI
8,2019,80,64.82555555555557
9,2019,150,57.88583333333333
10,2019,150,59.42818181818182
11,2019,50,53.779999999999994
12,2019,20,57.690000000000005
1,2020,15,84.17999999999999
2,2020,30,269.055
3,2020,80,116.35499999999999
4,2020,140,111.3
5,2020,180,238.36555555555555
6,2020,200,196.426
7,2020,120,259.9514285714286
8,2020,80,253.7075
10,2020,150,113.56125
11,2020,50,90.813
12,2020,20,74.39
1,2021,15,213.73545454545456
2,2021,30,121.54333333333334
3,2021,80,194.13125
4,2021,140,237.4075
5,2021,180,240.3685714285714
6,2021,200,310.77375
7,2021,120,300.75666666666666
8,2021,80,337.60999999999996
9,2021,150,318.73875
10,2021,150,393.35166666666663
11,2021,50,321.17600000000004
12,2021,20,320.90500000000003
1,2022,15,315.823
2,2022,30,325.8877777777777
3,2022,80,271.635
4,2022,140,361.08666666666664
5,2022,180,381.255
6,2022,200,323.43
7,2022,120,356.98125
8,2022,80,369.4857142857143
9,2022,150,405.46777777777777
10,2022,150,342.17125
11,2022,50,363.72499999999997
12,2022,20,400.34142857142854
1,2023,15,405.9041666666667
2,2023,30,571.548
3,2023,80,400.3530769230769
4,2023,140,779.2776923076924
5,2023,180,715.2227272727273
6,2023,200,779.267
7,2023,120,439.83363636363634
