Month,Year,Rainfall,WPI
1,2006,15,34.166
2,2006,30,36.038333333333334
3,2006,80,32.568
4,2006,140,35.055
5,2006,180,35.424
6,2006,200,35.355
7,2006,120,33.85
8,2006,80,32.0
9,2006,150,31.125
10,2006,150,34.82666666666667
11,2006,50,31.615
12,2006,20,32.5125
1,2007,15,26.814
2,2007,30,29.830000000000002
3,2007,80,28.683333333333334
4,2007,140,29.169999999999998
5,2007,180,28.436
6,2007,200,29.18
7,2007,120,29.110000000000003
8,2007,80,31.015
9,2007,150,32.022000000000006
10,2007,150,31.935000000000002
11,2007,50,43.507999999999996
12,2007,20,44.765
1,2008,15,42.12833333333334
2,2008,30,43.2025
3,2008,80,45.72666666666667
4,2008,140,47.050000000000004
5,2008,180,53.05
6,2008,200,60.129999999999995
7,2008,120,62.28
8,2008,80,63.99
9,2008,150,67.5125
10,2008,150,66.8
11,2008,50,73.375
12,2008,20,64.986
1,2009,15,62.239999999999995
2,2009,30,60.31666666666666
3,2009,80,59.17999999999999
4,2009,140,61.708333333333336
5,2009,180,64.08
6,2009,200,71.275
7,2009,120,70.9375
8,2009,80,73.56
9,2009,150,64.0875
10,2009,150,73.67999999999999
11,2009,50,69.75
12,2009,20,67.66666666666667
1,2010,15,64.3
2,2010,30,66.375
3,2010,80,64.85
4,2010,140,64.125
5,2010,180,64.92
6,2010,200,65.5
7,2010,120,68.44
8,2010,80,64.836
9,2010,150,65.20833333333333
10,2010,150,64.14
11,2010,50,64.16666666666667
12,2010,20,63.666666666666664
1,2011,15,64.77000000000001
2,2011,30,66.41666666666667
3,2011,80,66.875
4,2011,140,66.976
5,2011,180,70.05
6,2011,200,75.8125
7,2011,120,76.41666666666667
8,2011,80,76.04166666666667
9,2011,150,76.2
10,2011,150,75.20833333333333
11,2011,50,78.16666666666667
12,2011,20,84.5
1,2012,15,88.7
2,2012,30,84.79166666666667
3,2012,80,87.33333333333333
4,2012,140,96.375
5,2012,180,104.1
6,2012,200,106.93833333333333
7,2012,120,107.0
8,2012,80,111.75
9,2012,150,123.54249999999999
10,2012,150,157.20833333333334
11,2012,50,157.5
12,2012,20,143.5
1,2013,15,120.3125
2,2013,30,115.0625
3,2013,80,115.33333333333333
4,2013,140,116.55
5,2013,180,113.95833333333333
6,2013,200,118.375
7,2013,120,119.875
8,2013,80,116.9
9,2013,150,115.9
10,2013,150,115.4
11,2013,50,116.25
12,2013,20,115.29166666666667
1,2014,15,120.20833333333333
2,2014,30,117.11600000000001
3,2014,80,112.13400000000001
5,2014,180,111.0
6,2014,200,113.66666666666667
1,2015,15,142.29666666666665
2,2015,30,144.78
3,2015,80,133.21333333333334
4,2015,140,137.65
5,2015,180,156.22
6,2015,200,156.88833333333335
7,2015,120,164.8875
8,2015,80,163.85
9,2015,150,164.26666666666668
10,2015,150,161.11333333333334
11,2015,50,164.0825
12,2015,20,155.1
1,2016,15,152.6
2,2016,30,158.75
3,2016,80,159.6
4,2016,140,157.84333333333333
5,2016,180,164.10999999999999
6,2016,200,160.6
7,2016,120,154.01666666666668
8,2016,80,157.025
9,2016,150,151.67166666666665
10,2016,150,157.2825
11,2016,50,189.39166666666665
12,2016,20,157.05166666666665
1,2017,15,154.976
2,2017,30,163.125
3,2017,80,166.875
4,2017,140,180.072
5,2017,180,183.39000000000001
6,2017,200,175.32833333333335
7,2017,120,181.82666666666668
8,2017,80,197.3166666666667
9,2017,150,206.19333333333336
10,2017,150,203.48666666666668
11,2017,50,218.5666666666667
12,2017,20,226.47750000000002
1,2018,15,203.8075
2,2018,30,209.86
3,2018,80,209.70999999999998
4,2018,140,226.76
5,2018,180,225.60250000000002
6,2018,200,231.635
7,2018,120,213.6
8,2018,80,224.965
9,2018,150,223.0825
10,2018,150,235.37333333333333
11,2018,50,212.94000000000003
12,2018,20,187.235
1,2019,15,193.35750000000002
2,2019,30,182.83333333333334
3,2019,80,207.3625
4,2019,140,209.2833333333333
5,2019,180,206.8275
6,2019,200,210.3575
7,2019,120,203.0
8,2019,80,74.74037037037037
9,2019,150,108.45296296296296
10,2019,150,103.36749999999999
11,2019,50,93.52384615384615
12,2019,20,104.32633333333334
1,2020,15,111.16
2,2020,30,93.87521739130435
3,2020,80,130.31904761904764
4,2020,140,88.7776
5,2020,180,93.29454545454546
6,2020,200,250.9523076923077
7,2020,120,112.89384615384617
8,2020,80,135.3151851851852
9,2020,150,114.24807692307694
10,2020,150,115.35833333333335
11,2020,50,137.43666666666667
12,2020,20,145.2015
1,2021,15,157.2416
2,2021,30,143.36214285714286
3,2021,80,150.85928571428573
4,2021,140,146.25153846153847
5,2021,180,116.2038888888889
6,2021,200,173.94307692307694
7,2021,120,167.032
8,2021,80,129.39272727272726
9,2021,150,149.91846153846154
10,2021,150,144.41272727272727
11,2021,50,184.8411111111111
12,2021,20,193.90107142857144
1,2022,15,186.28965517241377
2,2022,30,173.29714285714286
3,2022,80,202.81384615384616
4,2022,140,245.30759999999998
5,2022,180,305.15
6,2022,200,209.73583333333332
7,2022,120,248.59217391304347
8,2022,80,238.55217391304348
9,2022,150,274.6030434782609
10,2022,150,286.2085714285714
11,2022,50,282.6272727272727
12,2022,20,345.2215789473684
1,2023,15,326.7503703703704
2,2023,30,388.79689655172416
3,2023,80,320.8872
4,2023,140,353.5380769230769
5,2023,180,376.2921875
6,2023,200,359.30535714285713
7,2023,120,399.8325
