Month,Year,Rainfall,WPI
8,2019,80,7.94625
9,2019,150,8.440000000000001
10,2019,150,9.7885
11,2019,50,6.333157894736842
12,2019,20,12.5385
1,2020,15,11.589523809523811
2,2020,30,151.74208333333334
3,2020,80,5.830526315789474
4,2020,140,122.94769230769231
5,2020,180,138.6017857142857
6,2020,200,318.46416666666664
7,2020,120,155.28875
8,2020,80,133.97190476190477
9,2020,150,156.0557142857143
10,2020,150,9.141666666666667
11,2020,50,7.495
12,2020,20,8.15
1,2021,15,60.13681818181818
2,2021,30,108.34761904761906
3,2021,80,67.79799999999999
4,2021,140,12.61357142857143
5,2021,180,81.7909090909091
6,2021,200,77.72285714285715
7,2021,120,52.136923076923075
8,2021,80,54.23166666666667
9,2021,150,76.20769230769231
10,2021,150,56.349230769230765
11,2021,50,99.15625
12,2021,20,59.48823529411764
1,2022,15,122.28529411764706
2,2022,30,240.31625
3,2022,80,109.08428571428571
4,2022,140,120.65857142857143
5,2022,180,183.192
6,2022,200,208.195
7,2022,120,113.59277777777778
8,2022,80,129.33625
9,2022,150,100.71166666666666
10,2022,150,138.99636363636364
11,2022,50,126.461875
12,2022,20,132.759
1,2023,15,243.30499999999998
2,2023,30,135.33999999999997
3,2023,80,140.79764705882351
4,2023,140,22.184444444444445
5,2023,180,26.017391304347825
6,2023,200,26.228823529411763
7,2023,120,203.20777777777778
