Month,Year,Rainfall,WPI
8,2019,80,13.299333333333333
9,2019,150,11.797727272727274
10,2019,150,8.985625
11,2019,50,10.74904761904762
12,2019,20,9.277142857142858
1,2020,15,11.40625
2,2020,30,86.89928571428572
3,2020,80,13.660625
4,2020,140,136.5313043478261
5,2020,180,87.36714285714287
6,2020,200,245.5646153846154
7,2020,120,77.415625
8,2020,80,65.23647058823529
9,2020,150,91.30733333333333
10,2020,150,16.068823529411766
11,2020,50,13.849375
12,2020,20,16.31
1,2021,15,53.945499999999996
2,2021,30,53.000625
3,2021,80,39.836
4,2021,140,43.04571428571428
5,2021,180,50.528571428571425
6,2021,200,35.94875
7,2021,120,13.186153846153847
8,2021,80,5.200909090909091
9,2021,150,16.923333333333332
10,2021,150,17.697777777777777
11,2021,50,17.822222222222223
12,2021,20,16.671
1,2022,15,16.649090909090912
2,2022,30,42.63666666666667
3,2022,80,45.172000000000004
4,2022,140,37.54416666666667
5,2022,180,42.26454545454545
6,2022,200,36.331538461538464
7,2022,120,43.06928571428572
8,2022,80,30.22142857142857
9,2022,150,30.133
10,2022,150,43.109375
11,2022,50,100.32571428571428
12,2022,20,49.18
1,2023,15,88.79
2,2023,30,200.91722222222222
3,2023,80,83.29666666666667
4,2023,140,157.6570588235294
5,2023,180,194.08333333333334
6,2023,200,109.95705882352941
7,2023,120,132.9463157894737
