Month,Year,Rainfall,WPI
8,2019,80,82.5078947368421
9,2019,150,81.11590909090908
10,2019,150,75.59777777777778
11,2019,50,91.38117647058823
12,2019,20,67.19
1,2020,15,110.06588235294119
2,2020,30,233.1774074074074
3,2020,80,58.33882352941176
4,2020,140,77.61809523809524
5,2020,180,237.35399999999998
6,2020,200,392.2833333333333
7,2020,120,190.8582608695652
8,2020,80,291.33799999999997
9,2020,150,178.90363636363637
10,2020,150,86.024
11,2020,50,78.025
12,2020,20,93.516875
1,2021,15,95.01294117647059
2,2021,30,48.760666666666665
3,2021,80,87.25222222222222
4,2021,140,46.57583333333333
5,2021,180,63.19199999999999
6,2021,200,200.40666666666667
7,2021,120,171.23866666666666
8,2021,80,202.84375
9,2021,150,195.38666666666666
10,2021,150,136.511875
11,2021,50,150.546875
12,2021,20,92.15631578947368
1,2022,15,235.60133333333334
2,2022,30,162.7618181818182
3,2022,80,74.518
4,2022,140,91.20333333333333
5,2022,180,147.655
6,2022,200,129.4425
7,2022,120,107.10187499999999
8,2022,80,166.91416666666666
9,2022,150,108.58470588235295
10,2022,150,222.51444444444442
11,2022,50,149.17
12,2022,20,207.98266666666666
1,2023,15,190.21933333333334
2,2023,30,205.10875
3,2023,80,147.71812500000001
4,2023,140,245.12176470588233
5,2023,180,187.2042105263158
6,2023,200,100.2352380952381
7,2023,120,205.05826086956523
