Month,Year,Rainfall,WPI
8,2019,80,76.226
9,2019,150,79.7995
10,2019,150,81.11952380952381
11,2019,50,88.349
12,2019,20,66.4315
1,2020,15,85.54789473684211
2,2020,30,30.478571428571428
3,2020,80,98.60888888888888
4,2020,140,14.3628
5,2020,180,20.881304347826088
6,2020,200,40.702
7,2020,120,30.09363636363636
8,2020,80,29.222608695652173
9,2020,150,21.5065
10,2020,150,127.16588235294118
11,2020,50,81.51238095238095
12,2020,20,124.04117647058823
1,2021,15,52.87708333333333
2,2021,30,16.39916666666667
3,2021,80,17.1252
4,2021,140,20.015555555555554
5,2021,180,13.478823529411764
6,2021,200,26.79952380952381
7,2021,120,34.80833333333333
8,2021,80,21.486
9,2021,150,23.3705
10,2021,150,23.792
11,2021,50,21.012
12,2021,20,20.0025
1,2022,15,21.521428571428572
2,2022,30,18.367222222222225
3,2022,80,26.919999999999998
4,2022,140,31.43052631578947
5,2022,180,40.18388888888889
6,2022,200,52.256470588235295
7,2022,120,37.1505
8,2022,80,27.95052631578947
9,2022,150,28.450666666666667
10,2022,150,22.259333333333334
11,2022,50,17.253999999999998
12,2022,20,20.060000000000002
1,2023,15,24.617727272727276
2,2023,30,98.81130434782608
3,2023,80,29.978181818181817
4,2023,140,230.38708333333332
5,2023,180,235.24499999999998
6,2023,200,180.48444444444445
7,2023,120,88.48565217391305
