Month,Year,Rainfall,WPI
1,2008,15,2.7359999999999998
2,2008,30,2.945
3,2008,80,3.3855555555555554
4,2008,140,3.71
5,2008,180,4.488888888888889
6,2008,200,7.307777777777777
7,2008,120,5.42375
8,2008,80,5.228571428571429
9,2008,150,3.9725
10,2008,150,3.526
11,2008,50,3.3285714285714287
12,2008,20,3.56
1,2009,15,3.3966666666666665
2,2009,30,3.9619999999999997
3,2009,80,3.636
4,2009,140,4.722727272727273
5,2009,180,4.68
6,2009,200,5.07
7,2009,120,6.29
8,2009,80,5.868333333333333
9,2009,150,6.154615384615385
10,2009,150,6.1
11,2009,50,5.201818181818182
12,2009,20,5.090714285714285
1,2010,15,5.423076923076923
2,2010,30,6.599000000000001
3,2010,80,6.272222222222222
4,2010,140,6.983636363636363
5,2010,180,7.314
6,2010,200,6.433
7,2010,120,7.237777777777778
8,2010,80,7.350833333333334
9,2010,150,5.386
10,2010,150,5.243636363636363
11,2010,50,4.569999999999999
1,2011,15,4.257272727272727
2,2011,30,4.20888888888889
3,2011,80,5.216666666666667
4,2011,140,5.664615384615384
5,2011,180,6.075
6,2011,200,8.172727272727274
7,2011,120,8.167272727272728
8,2011,80,7.723000000000001
9,2011,150,6.9879999999999995
10,2011,150,5.819999999999999
11,2011,50,6.177499999999999
12,2011,20,6.133333333333333
1,2012,15,6.399090909090909
2,2012,30,6.62
3,2012,80,8.841666666666667
4,2012,140,9.846666666666668
5,2012,180,11.721666666666666
6,2012,200,14.745
7,2012,120,15.967000000000002
8,2012,80,13.984545454545456
9,2012,150,12.318181818181818
10,2012,150,10.740909090909092
11,2012,50,10.07909090909091
12,2012,20,8.879999999999999
1,2013,15,8.781666666666666
2,2013,30,9.696000000000002
3,2013,80,9.941818181818181
4,2013,140,12.375
5,2013,180,13.5
6,2013,200,15.62
7,2013,120,16.325
8,2013,80,16.57
9,2013,150,13.942307692307692
10,2013,150,10.944444444444445
11,2013,50,11.925
12,2013,20,12.097777777777777
1,2014,15,10.244444444444445
2,2014,30,10.049999999999999
3,2014,80,9.700000000000001
4,2014,140,9.65
5,2014,180,11.644444444444444
6,2014,200,13.352727272727272
7,2014,120,13.352727272727272
8,2014,80,13.655833333333334
9,2014,150,13.325
10,2014,150,13.795454545454545
11,2014,50,13.479166666666666
12,2014,20,11.75
1,2015,15,44.27272727272727
2,2015,30,10.76923076923077
3,2015,80,12.0
4,2015,140,32.99444444444444
5,2015,180,15.116363636363637
6,2015,200,16.5
7,2015,120,31.40222222222222
8,2015,80,22.4875
9,2015,150,19.8
10,2015,150,17.98888888888889
11,2015,50,14.937000000000001
12,2015,20,14.277777777777779
1,2016,15,16.181818181818183
2,2016,30,17.375
3,2016,80,20.463
4,2016,140,28.063636363636363
5,2016,180,38.4
6,2016,200,33.416666666666664
7,2016,120,42.81818181818182
8,2016,80,32.375
9,2016,150,25.90909090909091
10,2016,150,23.272727272727273
11,2016,50,20.684444444444445
12,2016,20,17.62727272727273
1,2017,15,18.65
2,2017,30,19.25
3,2017,80,26.8
4,2017,140,33.285714285714285
5,2017,180,34.333333333333336
6,2017,200,35.833333333333336
7,2017,120,45.285714285714285
8,2017,80,35.666666666666664
9,2017,150,60.26333333333334
10,2017,150,12.4675
11,2017,50,17.133333333333333
12,2017,20,11.8
1,2018,15,18.33857142857143
2,2018,30,13.576666666666666
3,2018,80,14.898
4,2018,140,13.423333333333332
5,2018,180,21.6675
7,2018,120,32.724000000000004
9,2018,150,27.75
10,2018,150,12.6125
1,2019,15,12.166666666666666
3,2019,80,18.571666666666665
4,2019,140,30.4725
5,2019,180,31.05
6,2019,200,23.2975
7,2019,120,31.748333333333335
8,2019,80,15.936666666666667
9,2019,150,20.528333333333332
10,2019,150,13.834117647058823
11,2019,50,21.198
12,2019,20,16.90142857142857
1,2020,15,21.1765
2,2020,30,19.04
3,2020,80,19.055
4,2020,140,15.389090909090909
5,2020,180,22.4175
6,2020,200,43.50285714285714
7,2020,120,29.038636363636364
8,2020,80,24.634999999999998
9,2020,150,15.632105263157895
10,2020,150,43.07923076923077
11,2020,50,50.05384615384616
12,2020,20,74.14933333333333
1,2021,15,41.37421052631579
2,2021,30,14.010499999999999
3,2021,80,12.965000000000002
4,2021,140,14.950526315789475
5,2021,180,16.707333333333334
6,2021,200,16.7625
7,2021,120,26.41
8,2021,80,26.693684210526317
9,2021,150,24.746470588235294
10,2021,150,21.342000000000002
11,2021,50,20.821764705882355
12,2021,20,16.415454545454544
1,2022,15,16.145714285714284
2,2022,30,21.498125
3,2022,80,13.717222222222222
4,2022,140,33.070499999999996
5,2022,180,27.798461538461538
6,2022,200,35.638000000000005
7,2022,120,31.2785
8,2022,80,24.54263157894737
9,2022,150,27.686249999999998
10,2022,150,17.03818181818182
11,2022,50,17.7375
12,2022,20,20.46294117647059
1,2023,15,25.78421052631579
2,2023,30,56.512692307692305
3,2023,80,27.1
4,2023,140,101.5605
5,2023,180,103.25555555555556
6,2023,200,96.041875
7,2023,120,39.420434782608694
