Month,Year,Rainfall,WPI
11,2006,50,36.593333333333334
12,2006,20,33.225
1,2007,15,39.0
2,2007,30,35.75
3,2007,80,35.15
4,2007,140,35.88
5,2007,180,32.35
6,2007,200,41.5
7,2007,120,37.75
8,2007,80,33.166666666666664
9,2007,150,38.625
10,2007,150,36.776666666666664
11,2007,50,42.333333333333336
12,2007,20,43.06666666666666
1,2008,15,46.375
2,2008,30,47.016000000000005
3,2008,80,47.6
4,2008,140,48.3
5,2008,180,58.583333333333336
6,2008,200,62.64000000000001
7,2008,120,53.333333333333336
8,2008,80,56.0
9,2008,150,62.5
10,2008,150,63.0
11,2008,50,72.0
12,2008,20,62.665
1,2009,15,50.4
2,2009,30,54.375
3,2009,80,60.916666666666664
4,2009,140,59.875
5,2009,180,63.32000000000001
6,2009,200,62.086
7,2009,120,68.925
8,2009,80,72.1
9,2009,150,69.75
10,2009,150,63.5
11,2009,50,68.625
12,2009,20,65.55
1,2010,15,67.15
2,2010,30,63.0
3,2010,80,67.6875
4,2010,140,66.95833333333333
5,2010,180,69.52000000000001
6,2010,200,66.4
7,2010,120,69.39999999999999
8,2010,80,66.375
9,2010,150,68.16666666666667
10,2010,150,69.41666666666667
11,2010,50,67.8
12,2010,20,71.25
1,2011,15,71.3375
2,2011,30,71.5
3,2011,80,67.75
4,2011,140,68.75
5,2011,180,71.625
6,2011,200,71.0
7,2011,120,95.625
8,2011,80,112.3125
9,2011,150,91.25
10,2011,150,100.654
11,2011,50,106.375
12,2011,20,120.0
1,2012,15,123.05
2,2012,30,131.25
3,2012,80,138.33333333333334
4,2012,140,149.58333333333334
5,2012,180,154.16666666666666
6,2012,200,149.5
7,2012,120,154.9375
8,2012,80,150.66666666666666
9,2012,150,159.55
10,2012,150,156.6875
11,2012,50,163.33333333333334
12,2012,20,153.35
1,2013,15,153.0
2,2013,30,157.91666666666666
3,2013,80,158.5625
4,2013,140,169.5
5,2013,180,159.65
6,2013,200,163.0625
7,2013,120,166.7
8,2013,80,160.875
9,2013,150,167.55
10,2013,150,169.4375
11,2013,50,167.66666666666666
12,2013,20,167.55
1,2014,15,174.2
2,2014,30,176.66666666666666
3,2014,80,180.77999999999997
4,2014,140,149.84375
5,2014,180,167.3090909090909
6,2014,200,186.93800000000002
7,2014,120,197.09375
8,2014,80,215.15
9,2014,150,229.85714285714286
10,2014,150,183.38793103448276
11,2014,50,209.36111111111111
12,2014,20,228.27272727272728
1,2015,15,234.58333333333334
2,2015,30,241.66666666666666
3,2015,80,235.0
4,2015,140,257.525
5,2015,180,259.22222222222223
6,2015,200,265.4166666666667
7,2015,120,275.3
8,2015,80,281.14285714285717
9,2015,150,269.24333333333334
10,2015,150,262.44
11,2015,50,270.6666666666667
12,2015,20,270.0
1,2016,15,272.8
2,2016,30,258.75
3,2016,80,263.0
4,2016,140,266.25
5,2016,180,282.14285714285717
6,2016,200,269.5833333333333
7,2016,120,186.77777777777777
8,2016,80,204.25
9,2016,150,273.3333333333333
10,2016,150,260.0
11,2016,50,270.0
12,2016,20,244.85714285714286
1,2017,15,264.28125
2,2017,30,259.44444444444446
3,2017,80,263.6666666666667
4,2017,140,237.0
5,2017,180,254.16666666666666
6,2017,200,246.11166666666668
7,2017,120,205.06599999999997
8,2017,80,196.2
9,2017,150,393.125
10,2017,150,254.916
11,2017,50,239.75
12,2017,20,218.0
1,2018,15,265.625
2,2018,30,193.17857142857142
3,2018,80,173.125
4,2018,140,207.5
5,2018,180,180.23
6,2018,200,265.33500000000004
7,2018,120,182.125
8,2018,80,198.066
9,2018,150,219.625
10,2018,150,275.2857142857143
11,2018,50,219.73666666666668
12,2018,20,220.39285714285714
1,2019,15,335.466
2,2019,30,240.45833333333334
3,2019,80,202.5
4,2019,140,286.125
5,2019,180,223.1
6,2019,200,245.54999999999998
7,2019,120,219.56285714285715
8,2019,80,81.78315789473683
9,2019,150,91.05799999999999
10,2019,150,92.74133333333333
11,2019,50,87.65380952380953
12,2019,20,78.02388888888889
1,2020,15,104.6435294117647
2,2020,30,118.92444444444443
3,2020,80,114.48058823529412
4,2020,140,106.363125
5,2020,180,95.57631578947368
6,2020,200,253.93416666666667
7,2020,120,99.34277777777778
8,2020,80,215.0442105263158
9,2020,150,185.29888888888888
10,2020,150,70.34583333333333
11,2020,50,102.865
12,2020,20,80.13642857142858
1,2021,15,132.22947368421055
2,2021,30,135.6035
3,2021,80,159.29368421052632
4,2021,140,150.24
5,2021,180,116.34769230769231
6,2021,200,124.10769230769232
7,2021,120,118.51785714285714
8,2021,80,131.51941176470586
9,2021,150,167.55333333333334
10,2021,150,118.72550000000001
11,2021,50,142.8325
12,2021,20,131.5224
1,2022,15,181.65666666666667
2,2022,30,162.46357142857144
3,2022,80,172.0547619047619
4,2022,140,168.5290909090909
5,2022,180,151.41133333333335
6,2022,200,130.395
7,2022,120,175.799375
8,2022,80,150.55352941176469
9,2022,150,184.56083333333333
10,2022,150,325.331
11,2022,50,198.44125
12,2022,20,286.56666666666666
1,2023,15,245.08333333333334
2,2023,30,298.6627272727273
3,2023,80,245.41590909090908
4,2023,140,183.38772727272726
5,2023,180,221.10549999999998
6,2023,200,266.984375
7,2023,120,210.94857142857143
