Month,Year,Rainfall,WPI
1,2006,15,25.865
2,2006,30,25.9725
3,2006,80,25.369999999999997
4,2006,140,30.582
5,2006,180,28.946000000000005
7,2006,120,29.25
9,2006,150,29.48
10,2006,150,29.706
11,2006,50,28.811666666666667
12,2006,20,29.57
1,2007,15,29.160000000000004
2,2007,30,31.049999999999997
4,2007,140,56.175
5,2007,180,34.684
6,2007,200,28.73
7,2007,120,29.369999999999997
8,2007,80,28.830000000000002
9,2007,150,27.53
10,2007,150,31.327999999999996
11,2007,50,29.578333333333333
12,2007,20,31.551666666666666
1,2008,15,31.645555555555557
2,2008,30,33.531
3,2008,80,34.532
4,2008,140,36.9
5,2008,180,40.45090909090909
6,2008,200,45.302
7,2008,120,51.892222222222216
8,2008,80,50.44166666666666
9,2008,150,52.52
10,2008,150,52.428
11,2008,50,50.5
12,2008,20,47.595
1,2009,15,46.349999999999994
2,2009,30,49.11000000000001
3,2009,80,47.165
4,2009,140,48.46636363636364
5,2009,180,48.480000000000004
6,2009,200,51.40846153846154
7,2009,120,51.02454545454545
8,2009,80,54.73636363636364
9,2009,150,53.03
10,2009,150,52.3125
11,2009,50,51.669285714285714
12,2009,20,54.02846153846154
1,2010,15,53.93846153846154
2,2010,30,48.7825
3,2010,80,49.18833333333333
4,2010,140,49.905833333333334
5,2010,180,52.45
6,2010,200,51.62444444444444
7,2010,120,54.02307692307692
8,2010,80,58.26090909090909
9,2010,150,53.70545454545454
10,2010,150,51.066153846153846
11,2010,50,52.354166666666664
12,2010,20,46.75
1,2011,15,50.899
2,2011,30,40.05
3,2011,80,48.361111111111114
4,2011,140,50.825
5,2011,180,55.75
6,2011,200,61.0
7,2011,120,63.642857142857146
8,2011,80,71.38833333333334
9,2011,150,66.68272727272728
10,2011,150,70.887
11,2011,50,65.60333333333334
12,2011,20,71.03076923076922
1,2012,15,80.81818181818181
2,2012,30,68.72916666666667
3,2012,80,68.40625
4,2012,140,76.02777777777777
5,2012,180,70.59615384615384
6,2012,200,75.34454545454545
7,2012,120,74.9
8,2012,80,69.14285714285714
9,2012,150,74.525
10,2012,150,73.28571428571429
11,2012,50,77.135
12,2012,20,76.94090909090909
1,2013,15,72.35416666666667
2,2013,30,72.05555555555556
3,2013,80,77.02083333333333
4,2013,140,78.45454545454545
5,2013,180,72.80555555555556
6,2013,200,75.46000000000001
7,2013,120,80.83333333333333
8,2013,80,84.63333333333334
9,2013,150,79.975
10,2013,150,83.40625
11,2013,50,83.25
12,2013,20,77.25
1,2014,15,81.2090909090909
2,2014,30,85.65888888888888
3,2014,80,82.47
4,2014,140,84.85714285714286
5,2014,180,86.7090909090909
6,2014,200,129.16666666666666
7,2014,120,130.0
8,2014,80,136.66666666666666
9,2014,150,136.15
10,2014,150,224.41384615384615
11,2014,50,140.0
12,2014,20,143.33333333333334
1,2015,15,115.0
2,2015,30,120.9
3,2015,80,117.43076923076923
4,2015,140,122.29375
5,2015,180,125.89545454545454
6,2015,200,140.45555555555555
7,2015,120,154.41
8,2015,80,172.89545454545453
9,2015,150,159.26399999999998
10,2015,150,183.45285714285714
11,2015,50,170.66875
12,2015,20,166.60625
1,2016,15,182.1875
2,2016,30,186.50222222222223
3,2016,80,159.73125
4,2016,140,195.68111111111114
5,2016,180,191.7681818181818
6,2016,200,198.68125
7,2016,120,198.7125
8,2016,80,198.57
9,2016,150,181.166
10,2016,150,178.75
11,2016,50,190.63333333333333
12,2016,20,194.53
1,2017,15,184.47
2,2017,30,197.99444444444444
3,2017,80,191.375
4,2017,140,182.0
5,2017,180,177.14285714285714
6,2017,200,191.11111111111111
7,2017,120,198.41625
8,2017,80,145.0
9,2017,150,275.90250000000003
10,2017,150,141.99833333333333
11,2017,50,155.35714285714286
12,2017,20,140.5
1,2018,15,148.96285714285713
2,2018,30,132.36124999999998
3,2018,80,126.10999999999999
4,2018,140,156.432
5,2018,180,100.45
6,2018,200,190.66500000000002
7,2018,120,146.78333333333333
8,2018,80,174.21
9,2018,150,172.34833333333333
10,2018,150,194.37666666666667
11,2018,50,163.178
12,2018,20,149.526
1,2019,15,148.58
2,2019,30,142.904
3,2019,80,164.212
4,2019,140,186.8942857142857
5,2019,180,167.535
6,2019,200,173.165
7,2019,120,188.01142857142855
8,2019,80,79.661875
9,2019,150,78.18409090909091
10,2019,150,69.89176470588235
11,2019,50,99.51318181818182
12,2019,20,84.6705
1,2020,15,96.43526315789474
2,2020,30,67.13142857142857
3,2020,80,141.522
4,2020,140,61.53576923076923
5,2020,180,75.8808
6,2020,200,167.2018181818182
7,2020,120,62.005
8,2020,80,90.24388888888888
9,2020,150,87.19526315789474
10,2020,150,94.85799999999999
11,2020,50,114.22909090909091
12,2020,20,99.54263157894736
1,2021,15,76.67090909090909
2,2021,30,84.75708333333334
3,2021,80,93.2405
4,2021,140,78.4605
5,2021,180,80.4
6,2021,200,85.79333333333334
7,2021,120,81.05
8,2021,80,79.646
9,2021,150,99.18947368421053
10,2021,150,91.064
11,2021,50,103.09238095238095
12,2021,20,117.56649999999999
1,2022,15,103.2775
2,2022,30,89.99187500000001
3,2022,80,123.311
4,2022,140,102.26857142857142
5,2022,180,76.77666666666667
6,2022,200,126.30066666666667
7,2022,120,114.5342857142857
8,2022,80,106.3785
9,2022,150,107.90599999999999
10,2022,150,125.18285714285715
11,2022,50,131.29999999999998
12,2022,20,216.67849999999999
1,2023,15,230.90346153846153
2,2023,30,266.2389285714286
3,2023,80,240.54423076923078
4,2023,140,237.915
5,2023,180,250.26923076923077
6,2023,200,214.0415789473684
7,2023,120,245.1773076923077
