Month,Year,Rainfall,WPI
6,2010,200,30.0
8,2010,80,46.5
9,2010,150,42.582499999999996
10,2010,150,42.982
11,2010,50,43.0
12,2010,20,37.25
1,2011,15,37.1875
2,2011,30,36.0
3,2011,80,55.916666666666664
4,2011,140,53.916666666666664
5,2011,180,46.166666666666664
6,2011,200,60.4375
7,2011,120,58.73199999999999
8,2011,80,49.9375
9,2011,150,57.6
10,2011,150,52.957499999999996
11,2011,50,62.2
12,2011,20,64.8125
1,2012,15,52.875
2,2012,30,61.4
3,2012,80,62.625
4,2012,140,65.2
5,2012,180,73.2
6,2012,200,69.9
7,2012,120,86.66666666666667
8,2012,80,66.5
9,2012,150,88.75
10,2012,150,81.6
11,2012,50,65.0625
12,2012,20,60.75
1,2013,15,69.1
2,2013,30,68.58333333333333
3,2013,80,65.75
4,2013,140,59.6875
5,2013,180,64.25
6,2013,200,68.8125
7,2013,120,69.25
8,2013,80,68.625
9,2013,150,68.9
10,2013,150,73.7
11,2013,50,79.9375
12,2013,20,69.5
1,2014,15,65.375
2,2014,30,71.6
3,2014,80,74.73400000000001
5,2014,180,91.0
6,2014,200,78.2
1,2015,15,84.548
2,2015,30,91.775
3,2015,80,82.72
4,2015,140,92.64999999999999
5,2015,180,95.2
6,2015,200,104.42
7,2015,120,113.61666666666667
8,2015,80,112.55999999999999
9,2015,150,104.92
10,2015,150,104.3
11,2015,50,112.75
12,2015,20,105.2
1,2016,15,105.5
2,2016,30,119.8
3,2016,80,98.92
4,2016,140,99.12
5,2016,180,109.52000000000001
6,2016,200,116.57000000000001
7,2016,120,117.2
8,2016,80,107.6
9,2016,150,116.53333333333335
10,2016,150,115.0
11,2016,50,111.95
12,2016,20,92.46666666666665
1,2017,15,88.89999999999999
2,2017,30,87.855
3,2017,80,94.03333333333335
4,2017,140,97.2
5,2017,180,104.8
6,2017,200,65.0
