Month,Year,Rainfall,WPI
1,2006,15,34.693333333333335
2,2006,30,35.5
3,2006,80,37.035
4,2006,140,26.619999999999997
5,2006,180,28.78
6,2006,200,25.3925
7,2006,120,30.576
8,2006,80,22.3
9,2006,150,25.9025
10,2006,150,30.0975
11,2006,50,25.25
12,2006,20,29.25
1,2007,15,30.69
2,2007,30,22.84
3,2007,80,20.3
4,2007,140,22.9125
5,2007,180,18.27
6,2007,200,24.7
7,2007,120,26.125
8,2007,80,27.791666666666668
9,2007,150,28.6
10,2007,150,27.24
11,2007,50,34.79833333333333
12,2007,20,34.816
1,2008,15,38.065
2,2008,30,39.9
3,2008,80,42.0775
4,2008,140,36.125
5,2008,180,47.222
6,2008,200,58.94199999999999
7,2008,120,62.75
8,2008,80,62.196000000000005
9,2008,150,65.5625
10,2008,150,64.046
11,2008,50,62.239999999999995
12,2008,20,57.58
1,2009,15,56.260000000000005
2,2009,30,56.745000000000005
3,2009,80,56.714
4,2009,140,57.666666666666664
5,2009,180,59.02
6,2009,200,65.26
7,2009,120,66.878
8,2009,80,66.0575
9,2009,150,67.19333333333333
10,2009,150,67.50833333333334
11,2009,50,69.6
12,2009,20,67.83333333333333
1,2010,15,67.7
2,2010,30,61.291666666666664
3,2010,80,64.125
4,2010,140,64.25
5,2010,180,56.32000000000001
6,2010,200,63.958333333333336
7,2010,120,63.26666666666667
8,2010,80,57.07666666666666
9,2010,150,63.625
10,2010,150,68.325
11,2010,50,64.4
12,2010,20,61.45
1,2011,15,55.9
2,2011,30,59.875
3,2011,80,67.25
4,2011,140,65.6875
5,2011,180,58.4375
6,2011,200,68.1
7,2011,120,68.875
8,2011,80,69.8125
9,2011,150,77.16666666666667
10,2011,150,76.29166666666667
11,2011,50,79.26333333333334
12,2011,20,82.65
1,2012,15,79.0
2,2012,30,86.65
3,2012,80,82.0
4,2012,140,94.33333333333333
5,2012,180,80.5
6,2012,200,84.45599999999999
7,2012,120,76.25
8,2012,80,91.44
9,2012,150,98.8125
10,2012,150,97.91666666666667
11,2012,50,106.125
12,2012,20,106.5
1,2013,15,97.65
2,2013,30,104.0
3,2013,80,105.0
4,2013,140,95.0
5,2013,180,104.5
6,2013,200,105.75
7,2013,120,97.0
8,2013,80,116.66666666666667
9,2013,150,121.75
10,2013,150,114.0625
11,2013,50,111.5
12,2013,20,110.8125
1,2014,15,117.75
2,2014,30,109.2
3,2014,80,84.0
5,2014,180,111.6
6,2014,200,114.0
1,2015,15,133.332
2,2015,30,148.48250000000002
3,2015,80,126.85
4,2015,140,141.075
5,2015,180,150.0
6,2015,200,167.91666666666666
7,2015,120,152.832
8,2015,80,160.0
9,2015,150,160.83333333333334
10,2015,150,152.5
11,2015,50,146.45833333333334
12,2015,20,136.25
1,2016,15,141.89333333333335
2,2016,30,126.34333333333332
3,2016,80,129.0625
4,2016,140,149.6
5,2016,180,146.75
6,2016,200,155.0
7,2016,120,133.45
8,2016,80,148.13333333333333
9,2016,150,151.4725
10,2016,150,157.5
11,2016,50,148.64000000000001
12,2016,20,144.94
1,2017,15,128.125
2,2017,30,128.47333333333333
3,2017,80,137.9675
4,2017,140,142.5825
5,2017,180,161.9
6,2017,200,137.22333333333333
7,2017,120,170.13
8,2017,80,171.235
9,2017,150,181.81000000000003
10,2017,150,170.71800000000002
11,2017,50,201.59
12,2017,20,174.7675
1,2018,15,182.8475
2,2018,30,208.1225
3,2018,80,188.35
4,2018,140,245.03
5,2018,180,192.4333333333333
6,2018,200,192.3225
7,2018,120,193.1
8,2018,80,155.0
9,2018,150,236.565
10,2018,150,211.04333333333332
11,2018,50,144.98
12,2018,20,195.735
1,2019,15,209.28333333333333
2,2019,30,146.4
3,2019,80,223.885
4,2019,140,193.55999999999997
5,2019,180,207.71499999999997
6,2019,200,212.2575
7,2019,120,214.775
8,2019,80,128.97105263157894
9,2019,150,90.81173913043479
10,2019,150,128.50285714285715
11,2019,50,123.62761904761906
12,2019,20,132.63333333333335
1,2020,15,115.71
2,2020,30,119.74
3,2020,80,137.6521052631579
4,2020,140,123.34559999999999
5,2020,180,105.99944444444445
6,2020,200,293.38
7,2020,120,122.17565217391304
8,2020,80,135.0127272727273
9,2020,150,148.12285714285713
10,2020,150,140.79235294117646
11,2020,50,137.434375
12,2020,20,102.41
1,2021,15,169.91434782608695
2,2021,30,200.1861111111111
3,2021,80,153.777
4,2021,140,153.86555555555555
5,2021,180,187.58399999999997
6,2021,200,142.60238095238097
7,2021,120,181.82636363636362
8,2021,80,195.0522222222222
9,2021,150,180.73499999999999
10,2021,150,190.2285
11,2021,50,200.37650000000002
12,2021,20,146.59666666666666
1,2022,15,187.82153846153844
2,2022,30,198.36315789473684
3,2022,80,203.38636363636363
4,2022,140,203.90263157894736
5,2022,180,343.0652631578947
6,2022,200,253.53882352941176
7,2022,120,162.91846153846154
8,2022,80,296.3165
9,2022,150,226.4225
10,2022,150,264.9557142857143
11,2022,50,323.623
12,2022,20,346.8707692307692
1,2023,15,337.6959090909091
2,2023,30,440.9034782608695
3,2023,80,325.70346153846157
4,2023,140,380.9504
5,2023,180,394.556
6,2023,200,449.541875
7,2023,120,318.18227272727273
