Month,Year,Rainfall,WPI
8,2019,80,43.68545454545455
9,2019,150,21.998571428571427
10,2019,150,33.7725
11,2019,50,6.7250000000000005
12,2019,20,31.696153846153848
1,2020,15,10.668888888888889
2,2020,30,15.561333333333334
3,2020,80,18.56125
4,2020,140,122.36749999999999
5,2020,180,31.805
6,2020,200,235.28222222222223
7,2020,120,14.699166666666665
8,2020,80,17.116923076923076
9,2020,150,13.955333333333334
10,2020,150,2.6275
11,2020,50,2.705
12,2020,20,17.2025
1,2021,15,117.11071428571428
2,2021,30,255.659375
3,2021,80,58.417857142857144
4,2021,140,53.32928571428572
5,2021,180,34.735454545454544
6,2021,200,77.451875
7,2021,120,85.87923076923077
8,2021,80,83.774
9,2021,150,77.36769230769231
10,2021,150,50.79923076923077
11,2021,50,50.70111111111111
12,2021,20,106.98222222222222
1,2022,15,87.35833333333333
2,2022,30,105.59875
3,2022,80,52.902307692307694
4,2022,140,71.29
5,2022,180,52.2225
6,2022,200,66.42444444444443
7,2022,120,125.29375
8,2022,80,83.7218181818182
9,2022,150,102.33333333333333
10,2022,150,60.49066666666667
11,2022,50,113.05
12,2022,20,109.25111111111111
1,2023,15,76.99249999999999
2,2023,30,114.69624999999999
3,2023,80,133.314
4,2023,140,296.06888888888886
5,2023,180,137.77
6,2023,200,320.4983333333333
7,2023,120,100.36
