Month,Year,Rainfall,WPI
8,2019,80,9.532941176470588
9,2019,150,9.642777777777777
10,2019,150,9.622
11,2019,50,8.044666666666666
12,2019,20,18.46357142857143
1,2020,15,27.11285714285714
2,2020,30,49.77333333333333
3,2020,80,7.543636363636364
4,2020,140,114.68818181818183
5,2020,180,143.0423529411765
6,2020,200,370.4114285714286
7,2020,120,196.4753846153846
8,2020,80,114.14769230769231
9,2020,150,92.89571428571428
10,2020,150,13.6475
11,2020,50,9.158181818181818
12,2020,20,23.064
1,2021,15,7.05076923076923
2,2021,30,24.544666666666668
3,2021,80,8.854666666666667
4,2021,140,4.335
5,2021,180,7.28125
6,2021,200,10.457272727272727
7,2021,120,6.61375
8,2021,80,7.986363636363635
9,2021,150,6.393571428571428
10,2021,150,8.700000000000001
11,2021,50,6.21076923076923
12,2021,20,9.444285714285714
1,2022,15,8.44375
2,2022,30,7.75
3,2022,80,9.905833333333334
4,2022,140,9.145882352941177
5,2022,180,13.258461538461539
6,2022,200,10.368749999999999
7,2022,120,12.441875
8,2022,80,10.68375
9,2022,150,10.139090909090909
10,2022,150,14.016
11,2022,50,12.242857142857144
12,2022,20,13.3575
1,2023,15,16.070769230769233
2,2023,30,35.955714285714286
3,2023,80,11.54
4,2023,140,26.895714285714288
5,2023,180,31.78681818181818
6,2023,200,26.255999999999997
7,2023,120,18.6425
