Month,Year,Rainfall,WPI
8,2019,80,16.111875
9,2019,150,7.9316666666666675
10,2019,150,11.156153846153845
11,2019,50,6.027692307692307
12,2019,20,17.942777777777778
1,2020,15,28.021666666666665
2,2020,30,28.725294117647056
3,2020,80,11.325454545454546
4,2020,140,143.83190476190475
5,2020,180,61.45578947368421
6,2020,200,157.27875
7,2020,120,22.5505
8,2020,80,29.813333333333333
9,2020,150,40.542352941176475
10,2020,150,13.337272727272728
11,2020,50,15.994499999999999
12,2020,20,20.12846153846154
1,2021,15,8.667857142857143
2,2021,30,213.7776470588235
3,2021,80,14.657333333333332
5,2021,180,15.522499999999999
6,2021,200,17.270000000000003
7,2021,120,7.439333333333333
8,2021,80,9.711764705882352
9,2021,150,16.363333333333333
10,2021,150,12.093636363636364
11,2021,50,14.908666666666667
12,2021,20,17.887333333333334
1,2022,15,19.0
2,2022,30,11.65
3,2022,80,20.867142857142856
4,2022,140,23.162307692307692
5,2022,180,22.796363636363637
6,2022,200,23.783846153846152
7,2022,120,20.23625
8,2022,80,14.917333333333334
9,2022,150,17.0175
10,2022,150,18.507692307692306
11,2022,50,20.978333333333335
12,2022,20,22.056
1,2023,15,30.558333333333337
2,2023,30,25.637999999999998
3,2023,80,23.145833333333332
4,2023,140,16.58388888888889
5,2023,180,24.182352941176468
6,2023,200,15.94681818181818
7,2023,120,26.336666666666666
