Month,Year,Rainfall,WPI
1,2006,15,55.31333333333333
2,2006,30,58.541666666666664
3,2006,80,62.02
4,2006,140,72.7
5,2006,180,77.55
6,2006,200,76.6675
7,2006,120,79.69666666666667
8,2006,80,74.625
9,2006,150,46.495
10,2006,150,49.15
11,2006,50,51.239999999999995
12,2006,20,54.3
1,2007,15,59.928333333333335
2,2007,30,62.786
3,2007,80,69.87
4,2007,140,88.4
5,2007,180,97.5
6,2007,200,125.625
7,2007,120,123.19166666666666
8,2007,80,73.75
9,2007,150,62.99400000000001
10,2007,150,56.0
11,2007,50,68.77833333333334
12,2007,20,72.59833333333334
1,2008,15,89.33928571428571
2,2008,30,98.24307692307693
3,2008,80,102.75727272727272
4,2008,140,115.17916666666667
5,2008,180,129.225
6,2008,200,145.17923076923077
7,2008,120,141.20384615384614
8,2008,80,113.71785714285714
9,2008,150,85.57692307692308
10,2008,150,77.125
11,2008,50,87.75384615384615
12,2008,20,110.62307692307692
1,2009,15,124.8
2,2009,30,114.34615384615384
3,2009,80,114.66666666666667
4,2009,140,129.03571428571428
5,2009,180,141.2923076923077
6,2009,200,148.66666666666666
7,2009,120,157.26923076923077
8,2009,80,110.20384615384616
9,2009,150,111.095
10,2009,150,133.77083333333334
11,2009,50,130.875
12,2009,20,131.85714285714286
1,2010,15,147.08333333333334
2,2010,30,147.35714285714286
3,2010,80,143.51923076923077
4,2010,140,152.73214285714286
5,2010,180,170.9857142857143
6,2010,200,204.58928571428572
7,2010,120,215.65384615384616
8,2010,80,150.77083333333334
9,2010,150,122.59615384615384
10,2010,150,122.0
11,2010,50,132.65384615384616
12,2010,20,112.8125
1,2011,15,130.11083333333332
2,2011,30,128.8
3,2011,80,158.41666666666666
4,2011,140,178.96153846153845
5,2011,180,194.23076923076923
6,2011,200,199.70857142857145
7,2011,120,232.80769230769232
8,2011,80,189.7430769230769
9,2011,150,137.21153846153845
10,2011,150,135.71153846153845
11,2011,50,142.1346153846154
12,2011,20,157.53076923076924
1,2012,15,177.92307692307693
2,2012,30,177.91666666666666
3,2012,80,202.78333333333333
4,2012,140,217.53571428571428
5,2012,180,233.35714285714286
6,2012,200,312.7572727272727
7,2012,120,306.1458333333333
8,2012,80,253.25
9,2012,150,180.9090909090909
10,2012,150,202.60714285714286
11,2012,50,223.39285714285714
12,2012,20,240.92857142857142
1,2013,15,259.03846153846155
2,2013,30,244.09615384615384
3,2013,80,286.9553846153846
4,2013,140,286.64285714285717
5,2013,180,301.84615384615387
6,2013,200,292.15384615384613
7,2013,120,314.2857142857143
8,2013,80,247.41
9,2013,150,231.625
10,2013,150,222.88636363636363
11,2013,50,237.98214285714286
12,2013,20,243.30769230769232
1,2014,15,239.5
2,2014,30,253.17307692307693
3,2014,80,262.9166666666667
4,2014,140,273.01785714285717
5,2014,180,341.0
6,2014,200,337.3076923076923
7,2014,120,321.3636363636364
8,2014,80,284.425
9,2014,150,249.5
10,2014,150,272.5
11,2014,50,268.5
12,2014,20,264.09090909090907
1,2015,15,214.0909090909091
2,2015,30,276.9230769230769
3,2015,80,312.14285714285717
4,2015,140,332.05357142857144
5,2015,180,369.92857142857144
6,2015,200,370.7291666666667
7,2015,120,394.0625
8,2015,80,405.7833333333333
9,2015,150,320.79545454545456
10,2015,150,287.0
11,2015,50,317.95454545454544
12,2015,20,351.6666666666667
1,2016,15,384.5
2,2016,30,438.5416666666667
3,2016,80,458.2692307692308
4,2016,140,527.6923076923077
5,2016,180,579.7916666666666
6,2016,200,590.1923076923077
7,2016,120,654.0769230769231
8,2016,80,476.70454545454544
9,2016,150,371.27272727272725
10,2016,150,345.7
11,2016,50,387.91700000000003
12,2016,20,471.56333333333333
1,2017,15,489.20454545454544
2,2017,30,529.0909090909091
3,2017,80,545.0
4,2017,140,632.5
5,2017,180,716.0
6,2017,200,694.0909090909091
7,2017,120,697.733
8,2017,80,526.1977777777778
9,2017,150,243.445
10,2017,150,335.1925
11,2017,50,461.64285714285717
12,2017,20,372.05333333333334
1,2018,15,332.462
2,2018,30,414.072
3,2018,80,367.245
4,2018,140,413.47799999999995
5,2018,180,398.375
6,2018,200,296.01
7,2018,120,420.505
8,2018,80,457.038
9,2018,150,371.464
10,2018,150,394.13625
11,2018,50,388.25666666666666
12,2018,20,412.422
1,2019,15,380.675
2,2019,30,461.0014285714286
3,2019,80,525.2433333333333
4,2019,140,631.6133333333333
5,2019,180,577.01
6,2019,200,622.7916666666666
7,2019,120,627.3666666666667
8,2019,80,142.10466666666667
9,2019,150,146.3
10,2019,150,180.56676470588235
11,2019,50,191.65514285714286
12,2019,20,194.805
1,2020,15,234.90392857142857
2,2020,30,274.975
3,2020,80,210.21548387096774
