Month,Year,Rainfall,WPI
8,2019,80,100.23125
9,2019,150,107.29875
10,2019,150,98.40636363636364
11,2019,50,93.69368421052631
12,2019,20,94.085
1,2020,15,147.62391304347827
2,2020,30,336.16875
3,2020,80,110.06833333333333
4,2020,140,299.97200000000004
5,2020,180,298.40962962962965
6,2020,200,922.03625
7,2020,120,358.4
8,2020,80,311.84619047619043
9,2020,150,257.91809523809525
10,2020,150,99.755
11,2020,50,120.66578947368421
12,2020,20,150.11333333333334
1,2021,15,208.6446153846154
2,2021,30,221.02652173913043
3,2021,80,230.77555555555557
4,2021,140,360.4844444444445
5,2021,180,348.7782352941176
6,2021,200,399.4866666666667
7,2021,120,433.36631578947373
8,2021,80,228.958
9,2021,150,388.15
10,2021,150,279.56176470588235
11,2021,50,351.7066666666667
12,2021,20,385.6914285714286
1,2022,15,433.27208333333334
2,2022,30,617.454
3,2022,80,448.7054545454546
4,2022,140,673.4646666666666
5,2022,180,581.4746666666667
6,2022,200,583.8455555555555
7,2022,120,621.7636842105263
8,2022,80,543.6276470588235
9,2022,150,375.8522222222222
10,2022,150,475.888125
11,2022,50,375.7157142857143
12,2022,20,532.9060000000001
1,2023,15,508.34
2,2023,30,455.70807692307693
3,2023,80,536.3457142857143
4,2023,140,307.406
5,2023,180,234.91750000000002
6,2023,200,261.66875
7,2023,120,1022.9547368421053
